Medical Name,Upper Threshold
21183.50269243025,5220.576111976258
1539.03409326247,2368.523310994629
16196.094722001744,23921.251310071773
1746.819238424416,32903.72474212249
35662.88786004526,57807.737208926934
25459.6812605248,61265.38181575256
1385.9270477461696,85705.90389539095
49995.78507805366,2222.2825118846085
1186.077398037309,85408.23429427829
229.60805436545817,273280.3754158702
37564.70988306336,43247.06716630469
2559.043074750982,21326.82858821583
498.2007342343192,20654.22386117933
5537.067275527597,32190.733843000744
1714.608929810542,73045.27351288171
49755.95936349254,6059.012323158589
2099.5987295854275,78975.90860430873
31203.662071860825,67361.5590579259
11775.590020258109,69954.56999301887
8619.315037690934,70751.64423495642
9507.704463795211,83869.9818413557
1229.0178533269536,7835.258703232073
36853.04816344329,40145.07247164307
7918.574823902082,49266.36067232759
28243.234761465246,43915.66763107769
1677.4830797024413,15965.011582748557
36917.09350134681,49473.51213658965
1501.169484498549,2688.8818528631664
32376.36339676987,45595.69570017892
4871.328267313973,6862.179808199107
49840.06319138788,83464.57294780356
7778.272516162276,67471.02645490714
48008.97371315922,82933.5477576683
45074.17983232342,56059.78419760774
7440.108169294905,54375.23588967897
36484.32013114256,8236.842008066405
49005.037659259535,84853.73093898273
48484.97802378007,83643.62413722483
49769.10903289358,4672.472763828702
2570.4783891831894,1452.0282045230665
17554.145624221506,4265.29577624326
2506.6261429338424,4325.860420921164
8672.25537142945,70096.7027491798
6328.445531796308,12328.282935749094
24548.79891240314,35187.44514472854
6707.891605160154,72464.87928407485
30049.431741504737,71901.38120550706
49710.388800591376,85364.24706638885
18258.18380603832,84171.37658472476
49417.163520128655,85196.11902382938
496.0713948670725,83787.46189321834
44057.01350403413,75697.92003280474
7024.586752095834,61515.81571836717
920.6501619025992,49880.1789117741
447.05400400929904,4597.817032865556
21195.86487480972,34419.88751955048
48068.09199882602,82263.97503526346
2921.4677150179327,72232.96878706725
2978.175929982402,81510.22945530507
42941.89248026114,84795.61970644534
1053.6876182946237,2634.7249135356033
4806.690919081985,70517.20546668924
64.24931594017613,2782.134946616373
3237.0548115578376,60392.66864904257
37761.13799701015,64996.01636047924
10593.178572686851,11002.798239854079
38589.45533721717,44594.31470973792
49778.18086739901,16196.395968508908
2495.787432029757,3368.0029446894564
28874.639959777123,33861.49114335935
48354.62589033686,69063.31955485328
3322.882739443755,6418.58620765599
49163.3265854772,85035.56928778514
